,technology_terms,id,category,sector,technology_group,technology,description,technology_term,source,priority
1805,recycling,663742,recycling,Human settlements,Waste management,recycling,Technology of recycling product components and materials that are considered waste. Here does not include reuse of material in manufacturing processes.,recycling,https://www.ctc-n.org/technologies/product-component-and-materials-recycling,0.0
1806,PV,672729,solar PV,Energy,Solar energy sources,solar PV,Also “solar photovoltaic”; technology of using solar cells to convert solar radiation directly into electricity.,"photovoltaic, PV, “solar cell” ",https://www.ctc-n.org/technologies/solar-pv,1.0
1807,photovoltaic,672729,solar PV,Energy,Solar energy sources,solar PV,Also “solar photovoltaic”; technology of using solar cells to convert solar radiation directly into electricity.,"photovoltaic, PV, “solar cell” ",https://www.ctc-n.org/technologies/solar-pv,1.0
1808,renewable energy,663654,low GHG steel,Industry,Manufacturing innovation,low GHG steel,"In iron and steel industry, technology of significant emissions reductions from iron and steel production, such as replacement of coal with plant-based charcoal and reduction of iron oxide. Here does not include carbon capture and storage, waste heat reuse, introduction of gas turbines or of renewable energy sources.","“low GHG steel”, “carbon capture and storage”, “carbon capture and sequestration”, “carbon sequestration”, “waste heat reuse”, “gas turbine”, “renewable energy”",http://www.b-t.energy/landscape/manufacturing/low-ghg-steel/,0.0
1809,energy storage,663654,energy storage,Energy,Storage,energy storage,"Technology of energy storage, such as batteries, pump systems or flywheels. Here does not mean energy storage in vehicles.","“energy storage”, “pump system”",http://www.b-t.energy/landscape/electricity/ultra-low-cost-electricity-storage/,0.0
1810,bioplastic,663119,bioplastics,Industry,Use of innovative materials,bioplastics,"Technology of using renewable biomass materials in the manufacture of bioplastics, including biodegradable or compostable bioplastics.",bioplastic,https://www.ctc-n.org/technologies/bioplastics,1.0
1811,energy storage,663055,energy storage,Energy,Storage,energy storage,"Technology of energy storage, such as batteries, pump systems or flywheels. Here does not mean energy storage in vehicles.","“energy storage”, “pump system”",http://www.b-t.energy/landscape/electricity/ultra-low-cost-electricity-storage/,0.0
1812,renewable energy,662195,low GHG steel,Industry,Manufacturing innovation,low GHG steel,"In iron and steel industry, technology of significant emissions reductions from iron and steel production, such as replacement of coal with plant-based charcoal and reduction of iron oxide. Here does not include carbon capture and storage, waste heat reuse, introduction of gas turbines or of renewable energy sources.","“low GHG steel”, “carbon capture and storage”, “carbon capture and sequestration”, “carbon sequestration”, “waste heat reuse”, “gas turbine”, “renewable energy”",http://www.b-t.energy/landscape/manufacturing/low-ghg-steel/,0.0
1813,CHP,662195,combined heat and power (CHP),Buildings,Interior appliance design,combined heat and power (CHP),Technology of an integrated system that combines electricity production and recovery of waste heat.,"“combined heat and power”, CHP",https://www.ctc-n.org/technologies/large-scale-combined-heat-and-power,1.0
1814,combined heat and power,662195,combined heat and power (CHP),Buildings,Interior appliance design,combined heat and power (CHP),Technology of an integrated system that combines electricity production and recovery of waste heat.,"“combined heat and power”, CHP",https://www.ctc-n.org/technologies/large-scale-combined-heat-and-power,1.0
1815,energy storage,663597,energy storage,Energy,Storage,energy storage,"Technology of energy storage, such as batteries, pump systems or flywheels. Here does not mean energy storage in vehicles.","“energy storage”, “pump system”",http://www.b-t.energy/landscape/electricity/ultra-low-cost-electricity-storage/,0.0
1816,renewable energy,663597,low GHG steel,Industry,Manufacturing innovation,low GHG steel,"In iron and steel industry, technology of significant emissions reductions from iron and steel production, such as replacement of coal with plant-based charcoal and reduction of iron oxide. Here does not include carbon capture and storage, waste heat reuse, introduction of gas turbines or of renewable energy sources.","“low GHG steel”, “carbon capture and storage”, “carbon capture and sequestration”, “carbon sequestration”, “waste heat reuse”, “gas turbine”, “renewable energy”",http://www.b-t.energy/landscape/manufacturing/low-ghg-steel/,0.0
1817,electric car,673048,electric vehicle design,Transport,Vehicle design,electric vehicle design,Technology of vehicle propelling using solely electric motors.,"“electric vehicle”, “electric car”",https://www.ctc-n.org/technologies/electric-vehicles,1.0
1818,offshore wind,663185,offshore wind,Energy,Wind,offshore wind,"Technology of converting the kinetic energy of the wind into electrical power, achieved with wind turbines. Offshore wind parks are placed in the sea or ocean.",“offshore wind”,https://www.ctc-n.org/technologies/offshore-wind,1.0
1819,waste management,663334,waste management,Human settlements,Waste management,waste management,"Technology of maximising efficiency of resource use in waste generation, segregation, transfer, sorting, treatment, recovery and disposal in an integrated manner. E.g. implementation of the 3R (reduce, reuse and recycle) principle.","“waste management”, “management of waste”",https://www.ctc-n.org/technologies/integrated-solid-waste-management,0.0
1820,CHP,662960,combined heat and power (CHP),Buildings,Interior appliance design,combined heat and power (CHP),Technology of an integrated system that combines electricity production and recovery of waste heat.,"“combined heat and power”, CHP",https://www.ctc-n.org/technologies/large-scale-combined-heat-and-power,1.0
1821,fuel cell,662960,fuel cell,Transport,Fuel,fuel cell,Technology of producing or using hydrogen or certain alcohols such as methanol as transportation fuel.,“fuel cell”,https://www.ctc-n.org/technologies/fuel-cells-mobile-applications,0.0
1822,CHP,662750,combined heat and power (CHP),Buildings,Interior appliance design,combined heat and power (CHP),Technology of an integrated system that combines electricity production and recovery of waste heat.,"“combined heat and power”, CHP",https://www.ctc-n.org/technologies/large-scale-combined-heat-and-power,1.0
1823,fuel cell,662750,fuel cell,Transport,Fuel,fuel cell,Technology of producing or using hydrogen or certain alcohols such as methanol as transportation fuel.,“fuel cell”,https://www.ctc-n.org/technologies/fuel-cells-mobile-applications,0.0
1824,energy storage,663433,energy storage,Energy,Storage,energy storage,"Technology of energy storage, such as batteries, pump systems or flywheels. Here does not mean energy storage in vehicles.","“energy storage”, “pump system”",http://www.b-t.energy/landscape/electricity/ultra-low-cost-electricity-storage/,0.0
1825,renewable energy,663466,low GHG steel,Industry,Manufacturing innovation,low GHG steel,"In iron and steel industry, technology of significant emissions reductions from iron and steel production, such as replacement of coal with plant-based charcoal and reduction of iron oxide. Here does not include carbon capture and storage, waste heat reuse, introduction of gas turbines or of renewable energy sources.","“low GHG steel”, “carbon capture and storage”, “carbon capture and sequestration”, “carbon sequestration”, “waste heat reuse”, “gas turbine”, “renewable energy”",http://www.b-t.energy/landscape/manufacturing/low-ghg-steel/,0.0
1826,wave energy,663466,wave energy,Energy,Hydro energy sources,wave energy,"Technology of capturing energy found in ocean surface waves. Several wave energy technologies can be distinguished: attenuators, point absorbers, surge converters, oscillating water columns, overtopping devices and submerged pressure differentials.","“wave energy”, “wave power”",https://www.ctc-n.org/technologies/wave-energy,1.0
1827,wave power,663466,wave energy,Energy,Hydro energy sources,wave energy,"Technology of capturing energy found in ocean surface waves. Several wave energy technologies can be distinguished: attenuators, point absorbers, surge converters, oscillating water columns, overtopping devices and submerged pressure differentials.","“wave energy”, “wave power”",https://www.ctc-n.org/technologies/wave-energy,1.0
1828,CHP,662683,combined heat and power (CHP),Buildings,Interior appliance design,combined heat and power (CHP),Technology of an integrated system that combines electricity production and recovery of waste heat.,"“combined heat and power”, CHP",https://www.ctc-n.org/technologies/large-scale-combined-heat-and-power,1.0
1829,CHP,661868,combined heat and power (CHP),Buildings,Interior appliance design,combined heat and power (CHP),Technology of an integrated system that combines electricity production and recovery of waste heat.,"“combined heat and power”, CHP",https://www.ctc-n.org/technologies/large-scale-combined-heat-and-power,1.0
1830,combined heat and power,661868,combined heat and power (CHP),Buildings,Interior appliance design,combined heat and power (CHP),Technology of an integrated system that combines electricity production and recovery of waste heat.,"“combined heat and power”, CHP",https://www.ctc-n.org/technologies/large-scale-combined-heat-and-power,1.0
1831,fuel cell,836347,fuel cell,Transport,Fuel,fuel cell,Technology of producing or using hydrogen or certain alcohols such as methanol as transportation fuel.,“fuel cell”,https://www.ctc-n.org/technologies/fuel-cells-mobile-applications,0.0
1832,LNG,836347,liquefied natural gas (LNG),Transport,Fuel,liquefied natural gas (LNG),"Technology of producing or using LNG, alternative natural gas-based fuel, for heavy duty trucks.","“liquefied natural gas”, LNG",https://www.ctc-n.org/technologies/liquefied-natural-gas-trucks-and-cars,1.0
1833,recycling,837139,recycling,Human settlements,Waste management,recycling,Technology of recycling product components and materials that are considered waste. Here does not include reuse of material in manufacturing processes.,recycling,https://www.ctc-n.org/technologies/product-component-and-materials-recycling,0.0
1834,PV,825669,solar PV,Energy,Solar energy sources,solar PV,Also “solar photovoltaic”; technology of using solar cells to convert solar radiation directly into electricity.,"photovoltaic, PV, “solar cell” ",https://www.ctc-n.org/technologies/solar-pv,1.0
1835,fuel cell,826234,fuel cell,Transport,Fuel,fuel cell,Technology of producing or using hydrogen or certain alcohols such as methanol as transportation fuel.,“fuel cell”,https://www.ctc-n.org/technologies/fuel-cells-mobile-applications,0.0
1836,combined heat and power,826234,combined heat and power (CHP),Buildings,Interior appliance design,combined heat and power (CHP),Technology of an integrated system that combines electricity production and recovery of waste heat.,"“combined heat and power”, CHP",https://www.ctc-n.org/technologies/large-scale-combined-heat-and-power,1.0
1837,energy storage,850151,energy storage,Energy,Storage,energy storage,"Technology of energy storage, such as batteries, pump systems or flywheels. Here does not mean energy storage in vehicles.","“energy storage”, “pump system”",http://www.b-t.energy/landscape/electricity/ultra-low-cost-electricity-storage/,0.0
1838,PV,850151,solar PV,Energy,Solar energy sources,solar PV,Also “solar photovoltaic”; technology of using solar cells to convert solar radiation directly into electricity.,"photovoltaic, PV, “solar cell” ",https://www.ctc-n.org/technologies/solar-pv,1.0
1839,renewable energy,850151,low GHG steel,Industry,Manufacturing innovation,low GHG steel,"In iron and steel industry, technology of significant emissions reductions from iron and steel production, such as replacement of coal with plant-based charcoal and reduction of iron oxide. Here does not include carbon capture and storage, waste heat reuse, introduction of gas turbines or of renewable energy sources.","“low GHG steel”, “carbon capture and storage”, “carbon capture and sequestration”, “carbon sequestration”, “waste heat reuse”, “gas turbine”, “renewable energy”",http://www.b-t.energy/landscape/manufacturing/low-ghg-steel/,0.0
1840,renewable energy,785211,low GHG steel,Industry,Manufacturing innovation,low GHG steel,"In iron and steel industry, technology of significant emissions reductions from iron and steel production, such as replacement of coal with plant-based charcoal and reduction of iron oxide. Here does not include carbon capture and storage, waste heat reuse, introduction of gas turbines or of renewable energy sources.","“low GHG steel”, “carbon capture and storage”, “carbon capture and sequestration”, “carbon sequestration”, “waste heat reuse”, “gas turbine”, “renewable energy”",http://www.b-t.energy/landscape/manufacturing/low-ghg-steel/,0.0
1841,distributed manufacturing,814078,distributed manufacturing,Industry,Manufacturing innovation,distributed manufacturing,"Also, “distributed production”, “cloud producing” or “local manufacturing”; technology of producing goods that are partly assembled by consumers (e.g. Ikea or 3D-printing).","“distributed manufacturing”, “distributed production”, “cloud producing”, “local manufacturing”",CORDIS,1.0
1842,renewable energy,848757,low GHG steel,Industry,Manufacturing innovation,low GHG steel,"In iron and steel industry, technology of significant emissions reductions from iron and steel production, such as replacement of coal with plant-based charcoal and reduction of iron oxide. Here does not include carbon capture and storage, waste heat reuse, introduction of gas turbines or of renewable energy sources.","“low GHG steel”, “carbon capture and storage”, “carbon capture and sequestration”, “carbon sequestration”, “waste heat reuse”, “gas turbine”, “renewable energy”",http://www.b-t.energy/landscape/manufacturing/low-ghg-steel/,0.0
1843,biofuel,848757,biofuel,Transport,Fuel,biofuel,"Technology of producing or using biofuel, or vegetable oil- or animal fat-based fuel consisting of long-chain alkyl (methyl, ethyl, or propyl) esters.",biofuel,https://www.ctc-n.org/technologies/biodiesel-0,1.0
1844,recycling,848757,recycling,Human settlements,Waste management,recycling,Technology of recycling product components and materials that are considered waste. Here does not include reuse of material in manufacturing processes.,recycling,https://www.ctc-n.org/technologies/product-component-and-materials-recycling,0.0
1845,CSP,644748,concentrated solar power (CSP),Energy,Solar energy sources,concentrated solar power (CSP),"Technology of producing electricity by concentrating the sun’s rays to heat a medium (usually a liquid or gas) that is then used in a heat engine process (steam or gas turbine) to drive an electrical generator. Four main CSP technologies can be distinguished: parabolic troughs (PT), solar towers with central receivers (CR), linear Fresnel reflectors (LF) and parabolic dishes (PD).","“concentrated solar power”, CSP, “concentrated solar”, “parabolic trough”, “solar tower with central receiver”, “Fresnel reflector”",https://setis.ec.europa.eu/technologies/concentrated-solar-energy,1.0
1846,renewable energy,778065,low GHG steel,Industry,Manufacturing innovation,low GHG steel,"In iron and steel industry, technology of significant emissions reductions from iron and steel production, such as replacement of coal with plant-based charcoal and reduction of iron oxide. Here does not include carbon capture and storage, waste heat reuse, introduction of gas turbines or of renewable energy sources.","“low GHG steel”, “carbon capture and storage”, “carbon capture and sequestration”, “carbon sequestration”, “waste heat reuse”, “gas turbine”, “renewable energy”",http://www.b-t.energy/landscape/manufacturing/low-ghg-steel/,0.0
1847,compressed natural gas,820567,compressed/converted natural gas,Transport,Fuel,compressed/converted natural gas,Technology of producing or using natural gas-based fuel for passenger vehicles.,"“compressed natural gas”, “converted natural gas”, “compressed gas”, “converted gas”",https://www.ctc-n.org/technologies/compressed-natural-gas-cng-fuel,0.0
1848,fuel cell,826062,fuel cell,Transport,Fuel,fuel cell,Technology of producing or using hydrogen or certain alcohols such as methanol as transportation fuel.,“fuel cell”,https://www.ctc-n.org/technologies/fuel-cells-mobile-applications,0.0
1849,LNG,826062,liquefied natural gas (LNG),Transport,Fuel,liquefied natural gas (LNG),"Technology of producing or using LNG, alternative natural gas-based fuel, for heavy duty trucks.","“liquefied natural gas”, LNG",https://www.ctc-n.org/technologies/liquefied-natural-gas-trucks-and-cars,1.0
1850,energy storage,714581,energy storage,Energy,Storage,energy storage,"Technology of energy storage, such as batteries, pump systems or flywheels. Here does not mean energy storage in vehicles.","“energy storage”, “pump system”",http://www.b-t.energy/landscape/electricity/ultra-low-cost-electricity-storage/,0.0
1851,renewable energy,804519,low GHG steel,Industry,Manufacturing innovation,low GHG steel,"In iron and steel industry, technology of significant emissions reductions from iron and steel production, such as replacement of coal with plant-based charcoal and reduction of iron oxide. Here does not include carbon capture and storage, waste heat reuse, introduction of gas turbines or of renewable energy sources.","“low GHG steel”, “carbon capture and storage”, “carbon capture and sequestration”, “carbon sequestration”, “waste heat reuse”, “gas turbine”, “renewable energy”",http://www.b-t.energy/landscape/manufacturing/low-ghg-steel/,0.0
1852,solar cell,804519,solar PV,Energy,Solar energy sources,solar PV,Also “solar photovoltaic”; technology of using solar cells to convert solar radiation directly into electricity.,"photovoltaic, PV, “solar cell” ",https://www.ctc-n.org/technologies/solar-pv,1.0
1853,photovoltaic,804519,solar PV,Energy,Solar energy sources,solar PV,Also “solar photovoltaic”; technology of using solar cells to convert solar radiation directly into electricity.,"photovoltaic, PV, “solar cell” ",https://www.ctc-n.org/technologies/solar-pv,1.0
1854,photovoltaic,816252,solar PV,Energy,Solar energy sources,solar PV,Also “solar photovoltaic”; technology of using solar cells to convert solar radiation directly into electricity.,"photovoltaic, PV, “solar cell” ",https://www.ctc-n.org/technologies/solar-pv,1.0
1855,reforestation,827643,afforestation,Agriculture,Forest protection,afforestation,"Also, “reforestation”; technology of direct conversion of non-forest land to forest land through planting, seeding, and/or promotion of natural seed sources.","afforestation, reforestation",https://www.ctc-n.org/technologies/forest-management-techniques-mitigation-redd,1.0
1856,renewable energy,807317,low GHG steel,Industry,Manufacturing innovation,low GHG steel,"In iron and steel industry, technology of significant emissions reductions from iron and steel production, such as replacement of coal with plant-based charcoal and reduction of iron oxide. Here does not include carbon capture and storage, waste heat reuse, introduction of gas turbines or of renewable energy sources.","“low GHG steel”, “carbon capture and storage”, “carbon capture and sequestration”, “carbon sequestration”, “waste heat reuse”, “gas turbine”, “renewable energy”",http://www.b-t.energy/landscape/manufacturing/low-ghg-steel/,0.0
1857,biofuel,807317,biofuel,Transport,Fuel,biofuel,"Technology of producing or using biofuel, or vegetable oil- or animal fat-based fuel consisting of long-chain alkyl (methyl, ethyl, or propyl) esters.",biofuel,https://www.ctc-n.org/technologies/biodiesel-0,1.0
1858,recycling,809308,recycling,Human settlements,Waste management,recycling,Technology of recycling product components and materials that are considered waste. Here does not include reuse of material in manufacturing processes.,recycling,https://www.ctc-n.org/technologies/product-component-and-materials-recycling,0.0
1859,smart grid,777996,grid management,Energy,System innovation,grid management,Here also “smart grid”; technology of controlling the production and distribution of electricity in electricity grids with connected electronic measurement and control mechanisms (such as smart meters and smart appliances). Here also includes vehicle-to-grid services.,"“grid management”, “smart grid”, “intelligent grid”, “vehicle-to-grid”",https://www.ctc-n.org/technologies/smart-grid,1.0
1860,bioplastic,849052,bioplastics,Industry,Use of innovative materials,bioplastics,"Technology of using renewable biomass materials in the manufacture of bioplastics, including biodegradable or compostable bioplastics.",bioplastic,https://www.ctc-n.org/technologies/bioplastics,1.0
1861,waste management,855329,waste management,Human settlements,Waste management,waste management,"Technology of maximising efficiency of resource use in waste generation, segregation, transfer, sorting, treatment, recovery and disposal in an integrated manner. E.g. implementation of the 3R (reduce, reuse and recycle) principle.","“waste management”, “management of waste”",https://www.ctc-n.org/technologies/integrated-solid-waste-management,0.0
1862,recycling,855329,recycling,Human settlements,Waste management,recycling,Technology of recycling product components and materials that are considered waste. Here does not include reuse of material in manufacturing processes.,recycling,https://www.ctc-n.org/technologies/product-component-and-materials-recycling,0.0
1863,renewable energy,855407,low GHG steel,Industry,Manufacturing innovation,low GHG steel,"In iron and steel industry, technology of significant emissions reductions from iron and steel production, such as replacement of coal with plant-based charcoal and reduction of iron oxide. Here does not include carbon capture and storage, waste heat reuse, introduction of gas turbines or of renewable energy sources.","“low GHG steel”, “carbon capture and storage”, “carbon capture and sequestration”, “carbon sequestration”, “waste heat reuse”, “gas turbine”, “renewable energy”",http://www.b-t.energy/landscape/manufacturing/low-ghg-steel/,0.0
1864,LNG,855407,liquefied natural gas (LNG),Transport,Fuel,liquefied natural gas (LNG),"Technology of producing or using LNG, alternative natural gas-based fuel, for heavy duty trucks.","“liquefied natural gas”, LNG",https://www.ctc-n.org/technologies/liquefied-natural-gas-trucks-and-cars,1.0
1865,microgrid,856213,micro-grids,Human settlements,Energy management,micro-grids,A group of interconnected loads and distributed energy resources (DERs) within clearly defined electrical boundaries that acts as a single controllable entity with respect to the grid. A micro-grid can connect and disconnect from the grid to enable it to operate in both grid-connected or island-mode.,"“micro-grid”, microgrid",https://www.ctc-n.org/technologies/micro-grid,0.0
1866,renewable energy,856213,low GHG steel,Industry,Manufacturing innovation,low GHG steel,"In iron and steel industry, technology of significant emissions reductions from iron and steel production, such as replacement of coal with plant-based charcoal and reduction of iron oxide. Here does not include carbon capture and storage, waste heat reuse, introduction of gas turbines or of renewable energy sources.","“low GHG steel”, “carbon capture and storage”, “carbon capture and sequestration”, “carbon sequestration”, “waste heat reuse”, “gas turbine”, “renewable energy”",http://www.b-t.energy/landscape/manufacturing/low-ghg-steel/,0.0
1867,smart grid,850370,grid management,Energy,System innovation,grid management,Here also “smart grid”; technology of controlling the production and distribution of electricity in electricity grids with connected electronic measurement and control mechanisms (such as smart meters and smart appliances). Here also includes vehicle-to-grid services.,"“grid management”, “smart grid”, “intelligent grid”, “vehicle-to-grid”",https://www.ctc-n.org/technologies/smart-grid,1.0
1868,waste management,832012,waste management,Human settlements,Waste management,waste management,"Technology of maximising efficiency of resource use in waste generation, segregation, transfer, sorting, treatment, recovery and disposal in an integrated manner. E.g. implementation of the 3R (reduce, reuse and recycle) principle.","“waste management”, “management of waste”",https://www.ctc-n.org/technologies/integrated-solid-waste-management,0.0
1869,recycling,831963,recycling,Human settlements,Waste management,recycling,Technology of recycling product components and materials that are considered waste. Here does not include reuse of material in manufacturing processes.,recycling,https://www.ctc-n.org/technologies/product-component-and-materials-recycling,0.0
1870,energy storage,854891,energy storage,Energy,Storage,energy storage,"Technology of energy storage, such as batteries, pump systems or flywheels. Here does not mean energy storage in vehicles.","“energy storage”, “pump system”",http://www.b-t.energy/landscape/electricity/ultra-low-cost-electricity-storage/,0.0
1871,recycling,854743,recycling,Human settlements,Waste management,recycling,Technology of recycling product components and materials that are considered waste. Here does not include reuse of material in manufacturing processes.,recycling,https://www.ctc-n.org/technologies/product-component-and-materials-recycling,0.0
1872,agroforestry,795557,agroforestry,Agriculture,Forest protection,agroforestry,"Also, “agro-sylviculture”; technology of managing land use when trees or shrubs are grown around or among crops or pastureland.","agroforestry, sylviculture, “agro-sylviculture”, agrosylviculture",https://www.ctc-n.org/technologies/agroforestry,1.0
1873,forest management,795557,forest management,Agriculture,Forest protection,forest management,"Technology of increasing carbon stocks of standing forests, including maintaining forest cover, minimising losses of dead organic matter (including slash) or of soil carbon by reducing soil erosion, and avoiding burning slash and other high-emission substances.","“forest management”, “management of forest”",https://www.ctc-n.org/technologies/forest-management-techniques-mitigation-redd,1.0
1874,energy storage,702435,energy storage,Energy,Storage,energy storage,"Technology of energy storage, such as batteries, pump systems or flywheels. Here does not mean energy storage in vehicles.","“energy storage”, “pump system”",http://www.b-t.energy/landscape/electricity/ultra-low-cost-electricity-storage/,0.0
1875,carbon sequestration,655645,carbon capture and storage,Industry,CCS,carbon capture and storage,"Also, “CCS” or “carbon sequestration”; technology of separating CO2 emissions generated through conventional power generation and industrial production processes, after which the compressed CO2 is transported to a suitable geological storage location.","“carbon capture and storage”, “carbon capture and sequestration”, “carbon sequestration”, CCS",https://www.ctc-n.org/technologies/co2-storage-technologies,1.0
1876,renewable energy,804092,low GHG steel,Industry,Manufacturing innovation,low GHG steel,"In iron and steel industry, technology of significant emissions reductions from iron and steel production, such as replacement of coal with plant-based charcoal and reduction of iron oxide. Here does not include carbon capture and storage, waste heat reuse, introduction of gas turbines or of renewable energy sources.","“low GHG steel”, “carbon capture and storage”, “carbon capture and sequestration”, “carbon sequestration”, “waste heat reuse”, “gas turbine”, “renewable energy”",http://www.b-t.energy/landscape/manufacturing/low-ghg-steel/,0.0
1877,energy storage,818260,energy storage,Energy,Storage,energy storage,"Technology of energy storage, such as batteries, pump systems or flywheels. Here does not mean energy storage in vehicles.","“energy storage”, “pump system”",http://www.b-t.energy/landscape/electricity/ultra-low-cost-electricity-storage/,0.0
1878,geothermal energy,809943,geothermal,Energy,Other renewable sources,geothermal,Technology of heating buildings and/or producing electricity by using natural reservoirs with hot water inside the Earth's crust.,"geothermal, “geothermal energy”, “geothermal power”",https://www.ctc-n.org/technologies/geothermal-electricity,1.0
1879,biofuel,855088,biofuel,Transport,Fuel,biofuel,"Technology of producing or using biofuel, or vegetable oil- or animal fat-based fuel consisting of long-chain alkyl (methyl, ethyl, or propyl) esters.",biofuel,https://www.ctc-n.org/technologies/biodiesel-0,1.0
1880,biorefinery,855088,biorefinery design,Industry,Manufacturing innovation,biorefinery design,Technology of sustainable processing of biomass into marketable products and energy.,"biorefinery, “biorefinery design”",https://www.ctc-n.org/technologies/biorefinery,1.0
1881,reforestation,823805,afforestation,Agriculture,Forest protection,afforestation,"Also, “reforestation”; technology of direct conversion of non-forest land to forest land through planting, seeding, and/or promotion of natural seed sources.","afforestation, reforestation",https://www.ctc-n.org/technologies/forest-management-techniques-mitigation-redd,1.0
1882,afforestation,823805,afforestation,Agriculture,Forest protection,afforestation,"Also, “reforestation”; technology of direct conversion of non-forest land to forest land through planting, seeding, and/or promotion of natural seed sources.","afforestation, reforestation",https://www.ctc-n.org/technologies/forest-management-techniques-mitigation-redd,1.0
1883,carbon sequestration,823805,carbon capture and storage,Industry,CCS,carbon capture and storage,"Also, “CCS” or “carbon sequestration”; technology of separating CO2 emissions generated through conventional power generation and industrial production processes, after which the compressed CO2 is transported to a suitable geological storage location.","“carbon capture and storage”, “carbon capture and sequestration”, “carbon sequestration”, CCS",https://www.ctc-n.org/technologies/co2-storage-technologies,1.0
1884,waste management,816703,waste management,Human settlements,Waste management,waste management,"Technology of maximising efficiency of resource use in waste generation, segregation, transfer, sorting, treatment, recovery and disposal in an integrated manner. E.g. implementation of the 3R (reduce, reuse and recycle) principle.","“waste management”, “management of waste”",https://www.ctc-n.org/technologies/integrated-solid-waste-management,0.0
1885,recycling,816703,recycling,Human settlements,Waste management,recycling,Technology of recycling product components and materials that are considered waste. Here does not include reuse of material in manufacturing processes.,recycling,https://www.ctc-n.org/technologies/product-component-and-materials-recycling,0.0
1886,renewable energy,793316,low GHG steel,Industry,Manufacturing innovation,low GHG steel,"In iron and steel industry, technology of significant emissions reductions from iron and steel production, such as replacement of coal with plant-based charcoal and reduction of iron oxide. Here does not include carbon capture and storage, waste heat reuse, introduction of gas turbines or of renewable energy sources.","“low GHG steel”, “carbon capture and storage”, “carbon capture and sequestration”, “carbon sequestration”, “waste heat reuse”, “gas turbine”, “renewable energy”",http://www.b-t.energy/landscape/manufacturing/low-ghg-steel/,0.0
1887,offshore wind,793316,offshore wind,Energy,Wind,offshore wind,"Technology of converting the kinetic energy of the wind into electrical power, achieved with wind turbines. Offshore wind parks are placed in the sea or ocean.",“offshore wind”,https://www.ctc-n.org/technologies/offshore-wind,1.0
1888,recycling,686636,recycling,Human settlements,Waste management,recycling,Technology of recycling product components and materials that are considered waste. Here does not include reuse of material in manufacturing processes.,recycling,https://www.ctc-n.org/technologies/product-component-and-materials-recycling,0.0
1889,photovoltaic,674311,solar PV,Energy,Solar energy sources,solar PV,Also “solar photovoltaic”; technology of using solar cells to convert solar radiation directly into electricity.,"photovoltaic, PV, “solar cell” ",https://www.ctc-n.org/technologies/solar-pv,1.0
1890,electric vehicle,816348,electric vehicle design,Transport,Vehicle design,electric vehicle design,Technology of vehicle propelling using solely electric motors.,"“electric vehicle”, “electric car”",https://www.ctc-n.org/technologies/electric-vehicles,1.0
1891,waste management,642451,waste management,Human settlements,Waste management,waste management,"Technology of maximising efficiency of resource use in waste generation, segregation, transfer, sorting, treatment, recovery and disposal in an integrated manner. E.g. implementation of the 3R (reduce, reuse and recycle) principle.","“waste management”, “management of waste”",https://www.ctc-n.org/technologies/integrated-solid-waste-management,0.0
1892,forest management,641585,forest management,Agriculture,Forest protection,forest management,"Technology of increasing carbon stocks of standing forests, including maintaining forest cover, minimising losses of dead organic matter (including slash) or of soil carbon by reducing soil erosion, and avoiding burning slash and other high-emission substances.","“forest management”, “management of forest”",https://www.ctc-n.org/technologies/forest-management-techniques-mitigation-redd,1.0
1893,CSP,644077,concentrated solar power (CSP),Energy,Solar energy sources,concentrated solar power (CSP),"Technology of producing electricity by concentrating the sun’s rays to heat a medium (usually a liquid or gas) that is then used in a heat engine process (steam or gas turbine) to drive an electrical generator. Four main CSP technologies can be distinguished: parabolic troughs (PT), solar towers with central receivers (CR), linear Fresnel reflectors (LF) and parabolic dishes (PD).","“concentrated solar power”, CSP, “concentrated solar”, “parabolic trough”, “solar tower with central receiver”, “Fresnel reflector”",https://setis.ec.europa.eu/technologies/concentrated-solar-energy,1.0
1894,energy storage,726217,energy storage,Energy,Storage,energy storage,"Technology of energy storage, such as batteries, pump systems or flywheels. Here does not mean energy storage in vehicles.","“energy storage”, “pump system”",http://www.b-t.energy/landscape/electricity/ultra-low-cost-electricity-storage/,0.0
1895,fuel cell,725657,fuel cell,Transport,Fuel,fuel cell,Technology of producing or using hydrogen or certain alcohols such as methanol as transportation fuel.,“fuel cell”,https://www.ctc-n.org/technologies/fuel-cells-mobile-applications,0.0
1896,energy storage,855757,energy storage,Energy,Storage,energy storage,"Technology of energy storage, such as batteries, pump systems or flywheels. Here does not mean energy storage in vehicles.","“energy storage”, “pump system”",http://www.b-t.energy/landscape/electricity/ultra-low-cost-electricity-storage/,0.0
1897,CSP,855757,concentrated solar power (CSP),Energy,Solar energy sources,concentrated solar power (CSP),"Technology of producing electricity by concentrating the sun’s rays to heat a medium (usually a liquid or gas) that is then used in a heat engine process (steam or gas turbine) to drive an electrical generator. Four main CSP technologies can be distinguished: parabolic troughs (PT), solar towers with central receivers (CR), linear Fresnel reflectors (LF) and parabolic dishes (PD).","“concentrated solar power”, CSP, “concentrated solar”, “parabolic trough”, “solar tower with central receiver”, “Fresnel reflector”",https://setis.ec.europa.eu/technologies/concentrated-solar-energy,1.0
