,title,objective,coordinator
16747,Intelligent Grid Platform,"The energy sector is going through a transformation from a one directional centralized system in which energy is produced by a limited number of big power plants into a highly decentralized ecosystem due to the introduction of small-scale renewable energies and the electrification of mobility. In this situation, power distribution grid operatorsâ€™ current workflows and IT systems cause inconsistent data management which complicates their planning and operation activities. Therefore, essential grid planning and operation workflows involve significant manual input. As a result, e.g. the evaluation of a connection request for a single new wind turbine often takes multiple days. Additionally, Smart Grid Technologies cannot be used to their full extent to avoid curtailment of renewables in congestion management, and to substitute conventional expensive grid capacity expansions.
We have developed the Intelligent Grid Platform (IGP), the only integral software solution using machine learning algorithms to allow grid operators to reduce their operational and network expansion investment costs by giving them the means to clean and connect their data, digitize and automate their grid planning and operation activities and to more easily integrate smart grid technologies to help their operation processes and avoid expensive network capacity extensions. As a result, they save time and engineering resources by up to 70% and reduce grid operation and expansion costs by 40% to 60%. In this project, we will advance the IGP applications for online gird operation.",ENVELIO GMBH
17214,Training Network for the Design and Recycling of Rare-Earth Permanent Magnet Motors and Generators in Hybrid and Full Electric Vehicles,"Hybrid and Full Electric Vehicles ((H)EVs) are essential for the transition towards sustainable e-mobility. The permanent magnets in motors/generators of (H)EVs are either NdFeB or SmCo magnets, which contain large quantities of rare earths, which are critical metals with the highest supply risk for Europe. As highlighted by the European Rare Earths Competency Network, recycling of rare-earth magnets from (H)EVs should receive top priority. Reclaiming of rare-earth magnet motors/generators used in (H)EVs is a major challenge because the magnets are difficult to remove from the assemblies. The conventional hydrometallurgical routes for the recovery of rare earths from End-of-Life permanent magnets have a high environmental impact due to inefficient use of chemicals, whereas the conventional pyrometallurgical routes for the production of magnet master alloys are energy-inefficient. DEMETER, the European Training Network for the Design and Recycling of Rare-Earth Permanent Magnet Motors and Generators in Hybrid and Full Electric Vehicles, concurrently develops (1) innovative, environmentally-friendly direct and indirect recycling strategies for the permanent magnets in the motors and generators of (H)EVs that are currently already on the market and (2) design-for-reuse solutions for motors and generators in the (H)EVs of the future. An intersectoral and interdisciplinary consortium of leading EU universities, research institutes and manufacturers from the automotive and magnet sector trains 15 Early Stage Researchers (ESRs). The research challenges include the development of hydrogen-based grain-refinement technologies to produce nanograin magnets directly from scrap magnets, the recovery of rare earths from SmCo and NdFeB magnets of motors/generators by ionometallurgical methods, and the design of motors/generators with reusable magnets, where the designs are based on 2D and 3D flux paths as well as non-traditional materials.",KATHOLIEKE UNIVERSITEIT LEUVEN
17346,Two Dimensional Materials for Photonic Devices,"The need for inexpensive yet highly efficient photodetectors and solar cells is driving the search for a new generation of semiconductors that have high absorbance in the visible, broad wavelength operation range, are transparent and flexible albeit with strong light-matter interaction, and are easy to process. Manufacturing these optoelectronic devices at a large scale involves concerns at technological, economical, ecological, social and political levels. Ideally, the new materials are abundant, easily processed and feature long term stability and non-toxicity. The advent of 2D transition metal dichalcogenides (TMDCs). e.g., MoS2 and WS2, has generated great expectations since these materials fulfill all these requirements. 2D-TMDCs exhibit direct band gaps, high absorption coefficients, and high carrier mobility values, making them promising candidates for optoelectronic applications. The out-of-plane quantum confinement responsible for the direct bandgap in the monolayer, also allows for the modulation of the bandgap as a function of the number of layers. However, for photovoltaics (PV), even if transparency is an important attribute in some niche markets, e.g. building-integrated PV, thickness-limited absorption poses a challenge in general. To overcome this issue, we propose a photonic nanostructuration to maximize light harvesting in these devices. We will combine strong interference effects based in the small penetration in a metallic substrate and the light trapping due to the nanostructuration by lithography of TMDCs over a metallic substrate. Resonators with high-quality factors will have potential applications in light harvesting devices, such as photodetectors, but also in solar cells. We will design and fabricate such an efficient photodetector, and also a solar cell incorporating the photonic design, and demonstrate enhanced performance in a metal back reflector/TMDC/graphene device.",LABORATORIO IBERICO INTERNACIONAL DE NANOTECNOLOGIA
18033,Wave Energy Generators for Marine Buoys and Aquaculture Fish Farms,"In the last decade, over 700â‚¬ million have been invested by private companies in the development of marine energy. Some EU-Member countries such as the UK, France, Ireland, Spain, Denmark and Portugal are heavily investing in this sector. However, it is still a raw sector with high risks and some companies are shutting down or reducing their projects due to the operating and maintenance costs of these plants.
eForcis and BeForcis are wave energy generators and represent the next stage of technology to harvest wave energy for the economic activity at sea, especially offshore. By focusing on low potential energy and the reduction of energy costs, our product will reduce carbon energy consumption and contribute to more efficient and competitive maritime economic activities. 
At SMALLE Technologies, SL, we are a high-tech company developing innovative energy harvesting devices. Our flagship product is the eForcis wave power generator, which is able to capture energy (between 2-10 Ah/day) from the sea waves. Our mission is to develop new methods of responsibly using renewable and sustainable energy sources to power off-grid devices. We offer reliable, high-quality and cost-effective products supported by extensive R&D. We want to reduce the carbon footprint of electricity production having a positive impact on the environment. 
The next steps in our company strategy are to increase the TRL6 of our eForcis equipment to reach a marketable product closely working with key clients in the buoy sectors, and to finalise and test the BeForcis technology (optimization of eForcis technology incorporating a buoy) to serve the wide aquaculture market. This determines the objectives of our Phase 2 Project.
The proposed project intends to develop state-of-the-art small size devices that will take advantage of the free renewable energy of the sea. The project will represent a revolution in the maritime industry in terms of safety and cost savings.",SMALLE TECHNOLOGIES SL
18057,"Distributed Acoustic Sensing for Cable Monitoring and Surveying for Offshore Wind Farms providing movement, depth, surface disruption and free-span readings","Electricity Distribution Services Ltd (EDS) is a global leader in High Voltage (HV) asset management for offshore wind farms.  In the offshore wind industry, newly commissioned engineering projects often experience failures either in the initial years of operation or at the end of their lifecycle. Subsea cable damage most often arises from: anchor strikes, dragging fishing nets and erosion. Statistics show that a wind farm cable circuit of average length is likely to experience 1-2 faults per 20-year period. Insurance companies increasingly report on HV cable faults being a major issue for financial losses at offshore wind farms. They led to insurance claims totaling more than â‚¬60 million in 2015. On average, at least 10 subsea cable failures are declared to insurers each year in the offshore wind sector. The financial severity of these incidents continues to grow â€“ such that they account for 77% of the total global cost of offshore wind farm losses. Our CableSENTRY is an innovative solution based on Digital Acoustic Sensing (DAS) technology that detects subsea cable faults in real time. Acoustic signals from the HV cable create an optical response in a fibre optic line so faults and other events can be located accurately and immediately on a calibrated system. Applied in addition to existing fault location technology, our solution will be able to identify fault locations in land and subsea HV cables and save an average of 4 daysâ€™ downtime per fault over current methods",ELECTRICITY DISTRIBUTION SERVICES LIMITED
18345,"Applying silicon solar cell technology to revolutionize the design of thin-film solar cells and enhance their efficiency, cost and stability","Thin film (TF) photovoltaics (PV) hold high potential for Building Integrated PV, an important market as European buildings require to be nearly zero-energy by 2020. Currently, Cu(In,Ga)(S,Se)2 (= CIGS(e)) TF solar cells have high efficiency, but also a simple one-dimensional cell design with stability and reliability concerns. Furthermore, its present research has been mainly focused on improving the absorber and buffer layers. 
Scientifically, Uniting PV aims to study the practical boundaries of CIGS(e) TF solar cell efficiency. For that reason, its goal is to revolutionize the design of CIGS(e) solar cells through implementation of advanced three-dimensional silicon (Si) solar cell concepts. This novel design consists of (i) surface passivation layers and (ii) light management methods integrated into ultra-thin (UT) CIGS(e) solar cells: (i) Passivation layers will be studied to reduce charge carrier recombination at CIGS(e) surfaces. The aim is to create new understanding and thus scientific models. (ii) Light management methods will be studied to optimize optical confinement in UT CIGS(e) layers. The aim is to examine the interaction between light management and charge carrier recombination in UT CIGS(e), and to create scientific models. The main reasons to introduce these developments is to reduce charge carrier recombination at the CIGS(e) surfaces and in the CIGS(e) bulk, while maintaining optical confinement. 
Technologically, the project targets to establish a solar cell with: (1) Increased cell efficiency, at least 23.0 % and up to 26.0 %; (2) improved stability and reliability, due to reduced CIGS(e) thickness and passivation layers hindering alkali metal movement; and (3) reduced cost, due to the use of less Ga and In, and industrially viable materials, methods and equipment. Hence, its outcome will be upscalable, valuable for other TF PV materials, and start a new wave of innovation in and collaboration between TF and Si PV research fields.",INTERUNIVERSITAIR MICRO-ELECTRONICA CENTRUM
18544,MONOLITHIC BATTERIES FOR SPACESHIP APPLICATIONS,"The overall ambition of MONBASA is to develop an energy storage system for small satellites (nano-/microsatellites) that outperforms existing solutions and can be integrated with MEMS technology. To be both, applicable and competitive, the novel solution will have to respond to specific needs, namely:

(1) High energy efficiency and density;
(2) Small size and low weight;
(3) High reliability;
(4) Compliance with existing standards and regulation; and
(5) High cost-efficiency.

Any energy storage system will have to first demonstrate its ability to store energy efficiently, within specific power, lifetime and safety specifications and eventually be available at a cost that is ultimately affordable by the nano/microsatellite sector, which is highly cost-sensitive.

Worldwide nanosatellite sector is continuously growing and three main aspects are driving the development: miniaturization, standardization and cost. However Europe has seriously fallen behind competitors from the US and Asia, with regard to R&D in the field of energy storage, which is one of the crucial components for improving and widening small satellites performance and applications.

With its approach, MONBASA is bridging the gap between R&D and market, with the desired future impact being that the provision of tailored energy solutions becomes a European discipline and business. By bringing together a cross-sector consortium that comprises actors from the areas of energy R&D, processing technologies and space applications, the exact needs of the space industry will be considered for innovative energy storage solutions at low TRL levels. This will not only significantly increase future market uptake of a novel solution that so far is in the state of basic research, but it will foster urgently needed intense knowledge exchange between non-space and space actors for jointly developing novel solutions for a field of expectedly strong growth.","CENTRO DE INVESTIGACION COOPERATIVA DE ENERGIAS ALTERNATIVAS FUNDACION, CIC ENERGIGUNE FUNDAZIOA"
18782,Stable and High-Efficiency Perovskite Light-Emitting Diodes,"Light-emitting diodes (LEDs), which emit light by a solid-state process called electroluminescence, are considered as the most promising energy-efficient technology for future lighting and display. It has been demonstrated that optimal use of LEDs could significantly reduce the worldâ€™s electricity use for lighting from 20% to 4%. However, current LED technologies typically rely on expensive high-vacuum manufacturing processes, hampering their widespread applications. Therefore, it is highly desirable to develop low-cost LEDs based on solution-processed semiconductors. 

A superstar in the family of solution-processed semiconductors is metal halide perovskites, which have shown great success in photovoltaic applications during the past few years. The same perovskites can also been applied in LEDs. Despite being at an early stage of development with associated challenges, metal halide perovskites provide great promise as a new generation of materials for low-cost LEDs.

This project aims to develop high-efficiency and stable perovskite LEDs based on solution-processed perovskites. Two different classes of low-dimensional perovskites will be investigated independently. These new perovskites materials will then be coupled with novel interface engineering to fabricate perovskite LEDs with the performance beyond the state of the art. At the core of the research is the synthesis of new perovskite nanostructures, combined with advanced spectroscopic characterization and device development. This project combines recent advances in perovskite optoelectronics and low-dimensional materials to create a new paradigm for perovskite LEDs. This research will also lead to the development of new perovskites materials which will serve future advances in photovoltaics, transistors, lasers, etc.",LINKOPINGS UNIVERSITET
18907,"PRS, a disruptive technology for the industrial repair of large series of reusable plastic articles in the circular economy","In Europe, there are 1.8 billion items of plastic Returnable Transport Packaging (RTP), which are plastic pallets and crates that are used across various sectors, including the automotive, beverage, logistic and pooling services. Also in Europe, the number of plastic street containers for Municipal Solid Waste (MSW) exceeds ten million. The average lifetime of these articles ranges from five to ten years. When they break, these items are discarded and replaced with new ones. Discarded items have three destinations: recycling, incineration or as landfill. The owners of these plastic elements barely consider the possibility of their repair.
At Plastic Repair System, we have developed and patented an industrial technology for the repair of reusable plastic articles, which allows their use with total confidence and guarantees, while the cost of repair is less than one third of the new value of the same article. Repairs undertaken with PRS technology have been analysed by independent laboratories that have certified that PRS recovers 100% of the object's functionality and at least 98% of its original strength. 
The industrialization of processes allows the systematic repair of large volumes of plastic articles, achieving significant cost savings for our customers, as well as environmental advantages. We estimate that our technology will help to reduce the carbon footprint in at least 0.89 Kg CO2 per Kg of repaired plastic item.
After having successfully tested our technology on a small scale, we want to expand our Business Model internationally, starting with Europe. In fact, some customers with plants in several countries have asked us to extend our service to their plants in other countries. We have received also interest from two European venture capital funds focused in innovative companies in the circular economy. Phase 1 of SME Instrument represents an opportunity to improve our Business Plan for internationalization in a way that will allow us to minimize any risk.",PLASTIC REPAIR SYSTEM 2011 SL
18967,Technology for Onsite 3D Printing Production of Lengthy Large Diameter Polyethylene Pipes with Cellular Walls,"Leaks in large diameter pipes is one of the most important problems in the water supply chain, since they account for more than 50% of total water loss that amounts to 6.58 billion EUR annually. 

The OECD estimates the investments into water infrastructure to be around 2.5 trillion EUR for 2010-2030 or 124 billion EUR per year; the replacement of water supply and sanitation systems in the USA alone is estimated to account to 2.05 â€“ 3.23 trillion EUR in the next two decades. It suggests a large market for TOPpipes as a novel solution for water supply and water sewerage infrastructure.

TOPpipes (TRL 7), developed by Dominion, is a technology for onsite 3D printing production of polyethylene pipes and constructions â€“ a solution enabling to produce lengthy large diameter pipes with cellular walls at the place of laying. The technology is a combination of patented cellular wall pipes design and unique equipment for onsite 3D printing production.
 
It delivers outstanding opportunities for future market applications through synergy of innovative pipe design and unique manufacturing method, creates incomparable combination of technical and economic benefits, such as lean production that allows deep customisation and ability to produce pipes of larger diameter, onsite recycling of material, resistance to adverse conditions and pressure, significant reduction of jointsâ€™ amount, associated installation costs, and reduction of transportation cost.

TOPpipes solution for onsite 3D printing production of pipes will disrupt the traditional pipes production market by providing special more equipment, which is mobile, flexible, cheaper, and environmental friendly.
 
To ensure successful commercialization, in Phase 1 of SME Instrument, Dominion intends to develop an elaborate feasibility study for TOPpipes commercialization that would include thorough business plan with an extensive financial and business models, pricing and IPR strategies.",PRYVATNE PIDPRYIEMSTVO DOMINION
19306,"Energy efficient and environmentally friendly multi-fuel power system with CHP capability, for stand-alone applications.","The primary objective of the Prometheus-5 project is the field testing, standardization and industrialization of a highly innovative, energy efficient and environmentally friendly power production system, mainly for decentralized power generation. The device is able to convert the fuel (LPG/Natural Gas/Biogas) into electrical and thermal power, with intermediate production of hydrogen, by means of a Proton Exchange Membrane (PEM) fuel cell. Hydrogen is produced on site, via the reformation of the fuel, and feeds the PEM fuel cell, resulting in the production of electrical power. The nominal capacity of the power system is 5 kWe, while, in the case of CHP, an additional 7kW of thermal energy is produced. Regarding its electrical efficiency, it is greater than 35%, while the total efficiency, when thermal power is included, exceeds 85%.  The proposed innovative and efficient technologies address major EU and global challenges, dealing with both environmental and efficiency issues and they are in accordance with the Roadmap for moving toward a low-carbon economy in 2050. The product targets decentralized power production, where numerous applications have been identified. The sectors that will mainly be focused on are the followings: telecommunications, biogas production plants, transportation, marine, households, hospitals, etc. Currently, this market segment is served by diesel or gasoline generators which rely on mature and relatively low cost technology. However, the proposed system has electrical efficiency twice that of the conventional technology and less than half of its emissions. Also, it presents lower operational and maintenance costs and noise-free and reliable operation. The main objective of phase 1 of the project is to conduct a feasibility study evaluating all aspects of the commercial application of the developed product. This will include conduction of market and techno-economic studies, SWOT analysis, exploration of market and product strategies, etc",ELVIO ANONYMI ETAIREIA SYSTIMATON PARAGOGIS YDROGONOU KAI ENERGEIAS
19412,QUalitative Electricity STorage for Solar energy,"Lancey Energy Storage is pioneering a new era for energy storage, in which home appliances can contribute to the energy transition by storing electricity and engaging citizens. 
To fight global warming, renewable energy (RE) production is soaring, which is good news but has direct consequences on network management due to the intermittency of solar and wind power. Distributed storage can help better regulating the power grid and integrating more RE through self consumption and grid services. But few can afford it. Lancey aims at democratizing it by embarking a battery into a space heater. In France alone, 1/3 of real estate is electrically heated. Yet 1st generation electric heaters consume a lot of electricity and are highly responsible for the evening winter power peaks. Lancey has the solution to both of these issues. With its efficient heating technologies and energy management system, Lancey heater fine tunes to usersâ€™ needs while its battery charges off peak or with renewable energy surplus and discharges to prevent it from consuming power during peak hours. Total heating bill reduction can reach up to 50%. In 1,5 year of existence, Lancey has put on the market an innovative patented product rewarded by a CES Best innovation award. Yet this first version of the Lancey heater is still limited as its battery can only be used to power the heater. 
Solar QUESTâ€™s purpose is to develop the V2 of Lancey heater, able to reinject power stored in the battery into buildingsâ€™ grid to power other devices. It will unlock Lanceyâ€™s participation to grid services and make it possible to maximise PV installationsâ€™ self consumption rate in summer too. With its Danish partner Tomorrow, Lancey will showcase the CO2 emissions its offsets, better engage users on energy transition and integrate self-consumption and grid services parameters into Lanceyâ€™s management algorithms. Lancey will perform pilot demonstrations of this new product in France, Canada and Finland with key partners.",LANCEY ENERGY STORAGE
20384,Clean waterborne transport in Europe,"The FLAGSHIPS project raises the readiness of zero-emission waterborne transport to an entirely new level by demonstrating two commercially operated hydrogen fuel cell vessels. The demo vessels include a new build in France (Lyon) and a retrofit in Norway (Stavanger). The Lyon demo is a push-boat operating as a utility vessel on one of the most demanding rivers, the RhÃ´ne, while the Stavanger demo is a passenger and car ferry operating as part of the local public transport network. In the project, a total of 1.2 MW of on-board fuel cell power will be installed and both vessels will run on hydrogen produced on-site with electrolyzers powered by renewable electricity. Gaseous (Lyon) and liquid (Stavanger) hydrogen will be used in the vessels' on-board hydrogen storage. Both vessels will be approved for safety.
The project will cooperate over a broad base to complete the required safety assessment and approval for the two vessels, by applying and further developing the existing regulations and codes. The ship owners expect to maintain the ships in normal commercial operation after the 18-month demonstration period of the project and to this end, a solid support from local end-users and community has been gathered. The project will reduce the capital cost of marine fuel cell power systems significantly by leveraging knowhow from existing on-shore and marine system integration activities. European supply chains for H2 fuel and FC system technologies are strengthened by networking through the project. 
The consortium includes ten European partners, with two ship owners Norled (NO) and CFT (FR), and the maritime OEM and design companies ABB (FI), Kongsberg Maritime (NO) and LMG Marine (NO & FR). World-leading fuel cell technology is provided by Ballard Europe (DK) and vessel energy monitoring and management by Pers-EE (FR). Management and dissemination activities are provided by VTT (FI) and NCE Maritime CleanTech (NO), respectively.",Teknologian tutkimuskeskus VTT Oy
20523,Advanced biohybrid lighting and photovoltaic devices,"InOutBioLight aims to design multifunctional rubbers with enhanced mechanical, thermal, color-converting, and light-guiding features towards advanced biohybrid lighting and photovoltaic technologies. The latter are placed at the forefront of the EU efforts for low-cost production and efficient consumption of electricity, a critical issue for a sustainable development.
In this context, the use of biomolecules as functional components in lighting and photovoltaic devices is still a challenge, as they quickly denature under storage and device operation conditions. This paradigm has changed using an innovative rubber-like material, in which the biofunctionality is long preserved. As a proof-of-concept, color down-converting rubbers based on fluorescent proteins were used to design the first biohybrid white light-emitting diode (bio-HWLED). To develop a new generation of biohybrid devices, InOutBioLight will address the following critical issues, namely i) the nature of the protein-matrix stabilization, ii) how to enhance the thermal/mechanical features, iii) how to design multifunctional rubbers, iv) how to mimic natural patterns for light-guiding, and v) how to expand the technological use of the rubber approach.
To achieve these goals, InOutBioLight involves comprehensive spectroscopic, microscopic, and mechanical studies to investigate the protein-matrix interaction using new polymer matrices, additives, and protein-based nanoparticles. In addition, the mechanical, thermal, and light-coupling features will be enhanced using structural biocompounds and reproducing biomorphic patterns. As such, InOutBioLight offers three major advances: i) a thorough scientific basis for the rubber approach, ii) a significant thrust of the emerging bio-HWLEDs, and iii) innovative breakthroughs beyond state-of-the-art biohybrid solar cells.",FUNDACION IMDEA MATERIALES
20621,"Changing the electric-vehicle paradigm with green, long-lasting and fast recharge liquid batteries","Electric vehicles are poised to replace the high-polluting gasoline transport, driven by international policies aimed to reduce greenhouse gas emissions. Nonetheless, market uptake of electric cars is still low, less than 1% of automotive sales in 2016. The adoption of electric vehicles is hindered by long recharging times (on average 4 hours) and limited autonomy (max 300 km), due to performances constraints of the Li-ion batteries, the state-of-art in e-vehicles. 
After 4 years of research, BETTERY has developed NESSOX, a patented new class of batteries that allow for fast recharge of the battery and outstanding performances in terms of autonomy, size and weight.
The core technology is the patented design NESSOX, based on combining the lightness and high performances of the Li/O2 technology with the modularity of flow batteries, and a proprietary semi-solid catholyte based on a carbon nanoparticles, which assure flexibility and high performances.
NESSOX intend to introduce a new paradigm in electric vehicle transportation, by finally freeing e-drivers from the inconvenience of long recharging stops and limited duration of the battery, thus unleashing the market adoption of e-vehicles.
BETTERY plans to initially target the small vehicles market (e-bikes and e-scooters), and then move to the automotive sector. Global leaders in the automotive supply sector expressed their interest in collaborating for product development and distribution.
BETTERY is a high-tech start-up founded in 2018 by engineers and chemists with extensive experience in research, product development and project management. 
The Phase 1 project will be a launch pad for the future commercialization of the system, enabling BETTERY to validate the Nessox performances and the market opportunity in key areas, assess the processâ€™ economic performance indicators, and refine the business plan to attract the future investment needed for scaling up the production.",BETTERY SRL
20664,The first eco-friendly technology for greasy mixed plastics recycling,"Owing to their combination of unrivaled properties and low cost, plastics are the workhorse material of the modern economy. While delivering many benefits, the current plastics economy has drawbacks that are becoming more apparent by the day. The primary problem is the high material waste rate and poor closed-loop recycling in plastics manufacturing. Today, just 14% of plastics are used for recycling. To cope this problem, the European Commission has tried to implement increasingly stringent regulations, such as reducing landfilling or incineration, by increasing the taxes for waste disposal and promoting recycling. Nevertheless, the current inefficient recycling technologies make plastics recycled uncompetitive as raw material for many plastics converters. At TUSTI. BV. (Eindhoven, Netherlands) we have developed a smart solution to overcome these barriers. EGREMPLARE high-tech recycling process is a novel process that makes recycling of mixed plastics possible, allowing to increase to 60-85% the collected plastics to be recycled. We use our proprietary cleaning process that uses a bio-based material without not generation of new waste streams and with a low energy consumption. Companies have to pay less than landfilling taxes, contributing to the achievement of objectives set by the European Commission and reducing disposal cost. Since our foundation in 2015, we have invested over 350,000 euros to develop pilots tests, the bio-based cleaner, and process improvements. Now, based on the good results of our system, we aim to speed-up the technology to introduce our solution in the plastic recycled market. This market with such growth potential (predicted to increase at 6% CAGR up to 2022 reaching â‚¬42B), could greatly benefit from our eco-friendly and low-energy solution. We aim to achieve sales of 12,000 tonnes of plastic waste collected and over 10,000 of plastics recycled in the third year of commercialization, with revenues of more than 6 Mâ‚¬ by 2023.",TUSTI
20786,Energy efficient High Performance Computing,"Qarnot computing aims to develop a flexible High Performance Computing grid able to reuse the heat emitted by calculation units for the heating purposes of houses and business premises.

Regularly, huge data centers are opened for storage or calculation of numerical data. Needs, including calculation power, are becoming increasingly important, which explains the creation and implementation of more and more of these data centers. However, the past few years have shown that these clusters are particularly energy-consuming not only because of the calculations but also because of the cooling systems.

The idea is to sale processing power on the cloud. The calculations are smartly distributed to a remote computing grid. The grid is composed of calculation units that are actually electric heaters. The heat is produced by the processors that perform the computing.

Qarnot computing sales cloud HPC on one end, and refunds  the electricity used by electric heaters on the other end. This solution allows Qarnot to build progressively a scalable computing grid avoiding the massive investments of a data center. Furthermore, there is no need to cool the infrastructure as the heat is directly used for heating purposes. Seasonality has already been taken into account by using CPU low power mode, install calculation units in strategic hosts such as schools that are closed during summer. In addition, computing power demand is seasonal, there is less jobs to perform during summer. Qarnot computing grid will be able to guarantee all year long a certain capacity, the extra power will be offered for free to universities and will be used as an adjustment variable (to meet the needs for calculation and the needs for heat).

Qarnot can therefore propose a very energy efficient cloud HPC for reasonable prices. This is one key to address the HPC market which already represents billions of euros. Qarnot will be able to propose greener cloud HPC for lower prices than the competitors.",QARNOT COMPUTING
21169,Second life of wood: technology to dissolve waste wood to get raw materials,"We have developed the BioFlex solvent process that uses unwanted waste wood as a very cheap raw-material to produce clean and high-quality inputs for the production of renewable chemicals, fuels and materials. An inexpensive process separates the main components of wood: cellulose and lignin. These can then be turned into final products such as bio-plastics, common chemicals and novel materials.
There are a variety of new value chains that are potentially created through our technology. For example, using the waste wood from a local council, cellulose can be isolated, which is hydrolysed, fermented to succinic acid and then used in paint. The lignin isolated alongside the cellulose can be turned into a drop-in biodiesel sold at the local petrol station. Similarly, sawdust from a timber mill can be fractionated, the cellulose used to produce methylcellulose as a thickener in food, the lignin turned into a bio-derived plastic.
We are diverting wood waste from going to landfill or incineration and sawdust going into pellets. The European pellets market is saturated, also with pellets imported from the Americas. The lignin and cellulose produced from these currently underused wood resources can enter new, emerging, or existing value chains.
Our competition on the waste wood disposal side is incineration, offering energy recovery in some cases but resulting in the formation of toxic ash and contributing to air pollution. For some heavily treated waste wood there are no competitors except for costly and highly undesirable landfilling which are largely viewed as problematic by both waste producers and waste managers.
The market is estimated to be EUR 40.9 billion for BioFlex products and EUR 13.4 billion of waste wood recycling. We have established a clear timeline for commercialization and signed a number of agreements with partners to make this plan feasible. We have an interdisciplinary and dedicated team to make Bioflex and its products available on the market.",CHRYSALIX TECHNOLOGIES LIMITED
21742,Innovative nanostructured PLA polymer to expand suitable uses of biodegradable packaging,"Bioplastics are an essential part of our efforts to reduce pollution and increase sustainability. Of these, the most ecoefficient bioplastic is PLA as it is biodegradable, requires 50% less energy and produces 10 times less emissions in comparison to standard thermoplastics like PET and PP. Furthermore, as it does not need to be recycled, it not only saves the energy and cost involved, but also the fact that only a fraction of the plastic produced reaches the recycling plant, the rest ending up in landfill or the sea.
However, biodegradable plastics only make up approximately 0.2% of plastics produced in 2014. This is because conventional PLA has certain technical limitations which reduce the number of marketable applications where it can be used. For example, it cannot compete with standard thermoplastic grades used in packaging applications (such as PET and PE), in terms of oxygen and water vapour barrier and thermal properties, which are the most demanded properties for packaging requirements. 
Advanced & Functional Technologies for Biocomposites S.L (ADBIOCOMPOSITES) has developed an innovative, biodegradable PLA grade named BlockPLA which has enhanced technical properties: oxygen and water vapour barrier, thermal stability, transparency and flexibility. BlockPLA solves the drawbacks that PLA currently shows for packaging applications. In addition, BlockPLA has food contact approval and requires less energy to be produced. Production costs are slightly lower than conventional PLA. Therefore, BlockPLA is a real biodegradable alternative to PET, PP and PLA for packaging applications in the food and beverage industry, pharmaceutical and biomedical industry, home care packaging, cosmetics industry and others. 
ADBIOCOMPOSITES aims to use the SME instrument to scale up the production of BlockPLA and bring it to the packaging market, generating 37 new jobs and above â‚¬10 million revenues.",ADVANCED & FUNCTIONAL TECHNOLOGIES FOR BIOCOMPOSITES SL
22924,How and when does climate influence carbon sink activity? Multi-temporal analysis of wood formation in conifers,"Forest carbon sequestration plays a crucial role in climate change mitigation. As evidenced by recent studies, tree carbon uptake is directly controlled by environmental influence on wood (xylem) formation processes. Current knowledge on how and when climate influences these processes mostly come from short-term direct (weekly xylogenesis monitoring) and long-term indirect (width and anatomy of annual tree rings) analysis of tree growth. Nevertheless these approaches, related to different scales of investigation, cannot provide a complete overview of the complex climate influence on tree carbon sequestration, when used separately. 
INTREE aims at quantitatively assess multi-temporal climate influence on tree carbon sequestration in temperate and boreal forests. The project will focus on two conifer species, Picea abies and Picea mariana, along two elevation gradients in the Alps and one latitude gradient in Canada. A novel approach, the analysis of intra-ring wood anatomy along tree-ring series, will be used to create a link between different scales of investigation. Xylogenesis monitoring, tree ring analysis, and intra-ring quantitative wood anatomy, will be innovatively used jointly to assess intra-seasonal to multi-decadal climate variation influence on xylem formation processes. This new knowledge will be used to quantify climate influence on xylem cell number, size, and wall thickness in tree rings, and therefore to assess how climate variations affect the amount of carbon annually stock in the tree stem.
INTREE will promote the integration of different expertizes, methods and scales of investigation in climate change-related research. Outcomes will provide a unique contribution to current understanding of forest carbon sequestration, and provide mechanistic information for vegetation and carbon process-based models. In conclusion, INTREE will improve the scientific knowledge necessary to develop climate change mitigation actions.",EIDGENOESSISCHE FORSCHUNGSANSTALT WSL
23338,Mix-in Organic-InOrganic Redox Events for High Energy Batteries,"The ever-increasing demand for improved electrochemical energy storage technologies has fostered intense, worldwide and interdisciplinary research over the past decade. The field of positive electrode materials remains largely dominated by transition metal compounds in which only the redox of metal cations contributes to the energy storage. The development of new materials and technologies, wherein both anions and cations display reversible, multi-electron redox, is bound to strongly impact this field. 
MOOiRÃ‰ will challenge this goal through innovative approaches on Metal Organic Compounds and Frameworks (MOC/Fs) with mix-in many-electron reversible redox of both, transition metal cations and organic ligand anions. Building on our preliminary results MOOiRÃ‰ will adopt an integrated approach. We will combine performance oriented MOC/F molecular design supported by in-operando analytical inspection tools with novel electrode engineering approaches to overcome the limitations and enable efficient electrochemical charge storage. Through this highly interdisciplinary research, MOOiRÃ‰ intends to advance the science and technology of mix-in redox MOC/Fs for next generation batteries, supercapacitors and their hybrids. 
MOOiRÃ‰ will also be a major systematic study of the fundamentals of MOC/F-based energy storage systems in view of a practical implementation. The overall impact will extend beyond the energy science community: the developed knowledge, tools and procedures will influence research and development related to porous composite materials, sorption, ion exchange and electrocatalysis. In the context of energy storage, this will be a disruptive development, enabling the use of MOC/Fs electrodes, with superior levels of performance as compared to current technology, at affordable costs and based on novel protocols.",UNIVERSITE CATHOLIQUE DE LOUVAIN
